nombre,padre_nombre,descripcion
Campus Principal,,Campus universitario principal
Torre A,Campus Principal,Primera torre del campus
Torre B,Campus Principal,Segunda torre del campus
Torre C,Campus Principal,Tercera torre del campus
Nivel 1,Torre A,Primer nivel de Torre A
Nivel 2,Torre A,Segundo nivel de Torre A
Nivel 3,Torre A,Tercer nivel de Torre A
Nivel 1,Torre B,Primer nivel de Torre B
Nivel 2,Torre B,Segundo nivel de Torre B
Nivel 3,Torre B,Tercer nivel de Torre B
Nivel 1,Torre C,Primer nivel de Torre C
Nivel 2,Torre C,Segundo nivel de Torre C
Aula 101,Nivel 1,Aula de Torre A - Nivel 1
Aula 102,Nivel 1,Aula de Torre A - Nivel 1
Laboratorio 103,Nivel 1,Laboratorio de Torre A - Nivel 1
Aula 201,Nivel 2,Aula de Torre A - Nivel 2
Aula 202,Nivel 2,Aula de Torre A - Nivel 2
Biblioteca,Nivel 2,Biblioteca en Torre A - Nivel 2
Sala de Profesores,Nivel 3,Área de descanso Torre A - Nivel 3
